violations,mean_violations
3.700000000000000000e+01,3.700000000000000000e+01
1.200000000000000000e+01,2.450000000000000000e+01
1.500000000000000000e+01,2.133333333333333215e+01
3.000000000000000000e+00,1.675000000000000000e+01
4.000000000000000000e+00,1.419999999999999929e+01
0.000000000000000000e+00,1.183333333333333393e+01
8.000000000000000000e+00,1.128571428571428648e+01
7.000000000000000000e+00,1.075000000000000000e+01
0.000000000000000000e+00,9.555555555555555358e+00
5.000000000000000000e+00,9.099999999999999645e+00
9.000000000000000000e+00,9.090909090909091717e+00
1.000000000000000000e+01,9.166666666666666075e+00
8.000000000000000000e+00,9.076923076923076650e+00
1.200000000000000000e+01,9.285714285714286476e+00
4.000000000000000000e+00,8.933333333333333570e+00
1.000000000000000000e+01,9.000000000000000000e+00
0.000000000000000000e+00,8.470588235294117752e+00
7.000000000000000000e+00,8.388888888888889284e+00
4.000000000000000000e+00,8.157894736842104422e+00
5.000000000000000000e+00,8.000000000000000000e+00
7.000000000000000000e+00,7.952380952380952550e+00
5.000000000000000000e+00,7.818181818181818343e+00
7.000000000000000000e+00,7.782608695652173836e+00
8.000000000000000000e+00,7.791666666666666963e+00
5.000000000000000000e+00,7.679999999999999716e+00
8.000000000000000000e+00,7.692307692307692513e+00
4.000000000000000000e+00,7.555555555555555358e+00
5.000000000000000000e+00,7.464285714285714413e+00
5.000000000000000000e+00,7.379310344827586299e+00
4.000000000000000000e+00,7.266666666666666607e+00
5.000000000000000000e+00,7.193548387096774022e+00
7.000000000000000000e+00,7.187500000000000000e+00
4.000000000000000000e+00,7.090909090909090828e+00
8.000000000000000000e+00,7.117647058823528994e+00
4.000000000000000000e+00,7.028571428571428470e+00
7.000000000000000000e+00,7.027777777777777679e+00
5.000000000000000000e+00,6.972972972972972805e+00
6.000000000000000000e+00,6.947368421052631859e+00
5.000000000000000000e+00,6.897435897435897800e+00
4.000000000000000000e+00,6.825000000000000178e+00
4.000000000000000000e+00,6.756097560975609539e+00
5.000000000000000000e+00,6.714285714285714413e+00
4.000000000000000000e+00,6.651162790697674687e+00
5.000000000000000000e+00,6.613636363636363313e+00
5.000000000000000000e+00,6.577777777777777501e+00
5.000000000000000000e+00,6.543478260869565410e+00
4.000000000000000000e+00,6.489361702127659726e+00
5.000000000000000000e+00,6.458333333333333037e+00
7.000000000000000000e+00,6.469387755102040671e+00
6.000000000000000000e+00,6.459999999999999964e+00
5.000000000000000000e+00,6.431372549019608087e+00
4.000000000000000000e+00,6.384615384615385025e+00
6.000000000000000000e+00,6.377358490566037652e+00
5.000000000000000000e+00,6.351851851851852082e+00
4.000000000000000000e+00,6.309090909090909527e+00
4.000000000000000000e+00,6.267857142857143238e+00
8.000000000000000000e+00,6.298245614035087314e+00
5.000000000000000000e+00,6.275862068965516904e+00
5.000000000000000000e+00,6.254237288135593431e+00
3.000000000000000000e+00,6.200000000000000178e+00
5.000000000000000000e+00,6.180327868852459439e+00
6.000000000000000000e+00,6.177419354838709964e+00
5.000000000000000000e+00,6.158730158730159054e+00
3.000000000000000000e+00,6.109375000000000000e+00
6.000000000000000000e+00,6.107692307692307310e+00
6.000000000000000000e+00,6.106060606060606410e+00
4.000000000000000000e+00,6.074626865671642229e+00
5.000000000000000000e+00,6.058823529411764497e+00
4.000000000000000000e+00,6.028985507246376940e+00
5.000000000000000000e+00,6.014285714285714235e+00
5.000000000000000000e+00,6.000000000000000000e+00
5.000000000000000000e+00,5.986111111111110716e+00
4.000000000000000000e+00,5.958904109589041376e+00
5.000000000000000000e+00,5.945945945945945610e+00
4.000000000000000000e+00,5.919999999999999929e+00
5.000000000000000000e+00,5.907894736842105310e+00
5.000000000000000000e+00,5.896103896103896069e+00
5.000000000000000000e+00,5.884615384615385025e+00
4.000000000000000000e+00,5.860759493670886222e+00
4.000000000000000000e+00,5.837500000000000355e+00
5.000000000000000000e+00,5.827160493827160614e+00
3.000000000000000000e+00,5.792682926829268553e+00
5.000000000000000000e+00,5.783132530120481896e+00
5.000000000000000000e+00,5.773809523809523725e+00
5.000000000000000000e+00,5.764705882352941124e+00
6.000000000000000000e+00,5.767441860465115866e+00
4.000000000000000000e+00,5.747126436781608838e+00
5.000000000000000000e+00,5.738636363636363313e+00
6.000000000000000000e+00,5.741573033707864759e+00
4.000000000000000000e+00,5.722222222222222321e+00
4.000000000000000000e+00,5.703296703296703463e+00
5.000000000000000000e+00,5.695652173913043903e+00
4.000000000000000000e+00,5.677419354838709964e+00
5.000000000000000000e+00,5.670212765957447054e+00
4.000000000000000000e+00,5.652631578947368673e+00
4.000000000000000000e+00,5.635416666666666963e+00
5.000000000000000000e+00,5.628865979381443729e+00
4.000000000000000000e+00,5.612244897959183909e+00
4.000000000000000000e+00,5.595959595959596022e+00
4.000000000000000000e+00,5.580000000000000071e+00
5.000000000000000000e+00,5.574257425742573879e+00
5.000000000000000000e+00,5.568627450980391913e+00
4.000000000000000000e+00,5.553398058252427383e+00
5.000000000000000000e+00,5.548076923076923350e+00
4.000000000000000000e+00,5.533333333333333215e+00
4.000000000000000000e+00,5.518867924528302105e+00
5.000000000000000000e+00,5.514018691588785437e+00
5.000000000000000000e+00,5.509259259259259522e+00
5.000000000000000000e+00,5.504587155963302614e+00
4.000000000000000000e+00,5.490909090909091184e+00
5.000000000000000000e+00,5.486486486486486847e+00
5.000000000000000000e+00,5.482142857142856762e+00
4.000000000000000000e+00,5.469026548672566435e+00
5.000000000000000000e+00,5.464912280701754277e+00
5.000000000000000000e+00,5.460869565217390864e+00
5.000000000000000000e+00,5.456896551724137900e+00
4.000000000000000000e+00,5.444444444444444642e+00
5.000000000000000000e+00,5.440677966101694629e+00
5.000000000000000000e+00,5.436974789915966610e+00
5.000000000000000000e+00,5.433333333333333570e+00
5.000000000000000000e+00,5.429752066115702824e+00
5.000000000000000000e+00,5.426229508196721341e+00
5.000000000000000000e+00,5.422764227642276502e+00
4.000000000000000000e+00,5.411290322580645018e+00
4.000000000000000000e+00,5.400000000000000355e+00
5.000000000000000000e+00,5.396825396825397192e+00
5.000000000000000000e+00,5.393700787401574992e+00
5.000000000000000000e+00,5.390625000000000000e+00
4.000000000000000000e+00,5.379844961240309864e+00
4.000000000000000000e+00,5.369230769230768807e+00
4.000000000000000000e+00,5.358778625954198738e+00
5.000000000000000000e+00,5.356060606060606410e+00
4.000000000000000000e+00,5.345864661654135652e+00
5.000000000000000000e+00,5.343283582089552119e+00
4.000000000000000000e+00,5.333333333333333037e+00
5.000000000000000000e+00,5.330882352941176627e+00
5.000000000000000000e+00,5.328467153284671909e+00
4.000000000000000000e+00,5.318840579710144567e+00
5.000000000000000000e+00,5.316546762589927866e+00
5.000000000000000000e+00,5.314285714285714057e+00
3.000000000000000000e+00,5.297872340425532123e+00
4.000000000000000000e+00,5.288732394366197020e+00
4.000000000000000000e+00,5.279720279720280018e+00
4.000000000000000000e+00,5.270833333333333037e+00
4.000000000000000000e+00,5.262068965517241459e+00
4.000000000000000000e+00,5.253424657534246478e+00
4.000000000000000000e+00,5.244897959183673741e+00
4.000000000000000000e+00,5.236486486486486847e+00
5.000000000000000000e+00,5.234899328859060397e+00
4.000000000000000000e+00,5.226666666666666572e+00
5.000000000000000000e+00,5.225165562913907102e+00
4.000000000000000000e+00,5.217105263157894690e+00
5.000000000000000000e+00,5.215686274509804043e+00
4.000000000000000000e+00,5.207792207792207861e+00
5.000000000000000000e+00,5.206451612903225445e+00
5.000000000000000000e+00,5.205128205128205288e+00
5.000000000000000000e+00,5.203821656050955369e+00
5.000000000000000000e+00,5.202531645569620444e+00
5.000000000000000000e+00,5.201257861635220081e+00
4.000000000000000000e+00,5.193749999999999645e+00
5.000000000000000000e+00,5.192546583850931263e+00
4.000000000000000000e+00,5.185185185185185119e+00
3.000000000000000000e+00,5.171779141104294375e+00
5.000000000000000000e+00,5.170731707317073322e+00
4.000000000000000000e+00,5.163636363636364024e+00
4.000000000000000000e+00,5.156626506024096557e+00
4.000000000000000000e+00,5.149700598802395390e+00
5.000000000000000000e+00,5.148809523809523725e+00
4.000000000000000000e+00,5.142011834319526464e+00
5.000000000000000000e+00,5.141176470588235681e+00
4.000000000000000000e+00,5.134502923976608457e+00
4.000000000000000000e+00,5.127906976744186274e+00
4.000000000000000000e+00,5.121387283236994215e+00
4.000000000000000000e+00,5.114942528735632266e+00
4.000000000000000000e+00,5.108571428571428541e+00
4.000000000000000000e+00,5.102272727272727515e+00
4.000000000000000000e+00,5.096045197740113331e+00
5.000000000000000000e+00,5.095505617977527990e+00
4.000000000000000000e+00,5.089385474860335101e+00
5.000000000000000000e+00,5.088888888888888573e+00
5.000000000000000000e+00,5.088397790055248393e+00
5.000000000000000000e+00,5.087912087912087600e+00
4.000000000000000000e+00,5.081967213114753967e+00
6.000000000000000000e+00,5.086956521739130821e+00
5.000000000000000000e+00,5.086486486486486491e+00
4.000000000000000000e+00,5.080645161290322953e+00
4.000000000000000000e+00,5.074866310160428107e+00
4.000000000000000000e+00,5.069148936170212671e+00
4.000000000000000000e+00,5.063492063492063266e+00
5.000000000000000000e+00,5.063157894736842302e+00
4.000000000000000000e+00,5.057591623036649331e+00
5.000000000000000000e+00,5.057291666666666963e+00
5.000000000000000000e+00,5.056994818652849943e+00
5.000000000000000000e+00,5.056701030927834850e+00
5.000000000000000000e+00,5.056410256410256210e+00
4.000000000000000000e+00,5.051020408163265252e+00
4.000000000000000000e+00,5.045685279187817507e+00
4.000000000000000000e+00,5.040404040404040664e+00
4.000000000000000000e+00,5.035175879396985188e+00
4.000000000000000000e+00,5.030000000000000249e+00
4.000000000000000000e+00,5.024875621890547706e+00
5.000000000000000000e+00,5.024752475247524330e+00
4.000000000000000000e+00,5.019704433497537366e+00
6.000000000000000000e+00,5.024509803921568540e+00
5.000000000000000000e+00,5.024390243902439046e+00
4.000000000000000000e+00,5.019417475728155331e+00
4.000000000000000000e+00,5.014492753623188470e+00
5.000000000000000000e+00,5.014423076923076650e+00
4.000000000000000000e+00,5.009569377990430894e+00
6.000000000000000000e+00,5.014285714285714235e+00
6.000000000000000000e+00,5.018957345971563733e+00
5.000000000000000000e+00,5.018867924528302105e+00
5.000000000000000000e+00,5.018779342723004966e+00
5.000000000000000000e+00,5.018691588785046953e+00
5.000000000000000000e+00,5.018604651162791086e+00
4.000000000000000000e+00,5.013888888888889284e+00
5.000000000000000000e+00,5.013824884792626335e+00
5.000000000000000000e+00,5.013761467889907841e+00
5.000000000000000000e+00,5.013698630136985912e+00
5.000000000000000000e+00,5.013636363636363669e+00
4.000000000000000000e+00,5.009049773755656076e+00
4.000000000000000000e+00,5.004504504504504681e+00
4.000000000000000000e+00,5.000000000000000000e+00
4.000000000000000000e+00,4.995535714285714413e+00
4.000000000000000000e+00,4.991111111111111498e+00
5.000000000000000000e+00,4.991150442477875870e+00
5.000000000000000000e+00,4.991189427312775706e+00
5.000000000000000000e+00,4.991228070175438347e+00
4.000000000000000000e+00,4.986899563318777595e+00
4.000000000000000000e+00,4.982608695652174013e+00
